voltage_list,tap,reg_voltage,vreg,ptratio,v_base,patamar
"[0.9796599745750427, 0.9764000177383423, 0.9764099717140198, 0.9713600277900696, 0.9779499769210815]",0,0.98309,123.0,63.496,7967.433714816837,31
"[0.9796800017356873, 0.9764099717140198, 0.976419985294342, 0.9713799953460693, 0.9779700040817261]",0,0.9831,123.0,63.496,7967.433714816837,32
"[0.9796900153160095, 0.9764299988746643, 0.9764400124549866, 0.9713900089263916, 0.9779800176620483]",0,0.98312,123.0,63.496,7967.433714816837,33
"[0.9797000288963318, 0.9764400124549866, 0.9764500260353088, 0.9714099764823914, 0.9779999852180481]",0,0.98313,123.0,63.496,7967.433714816837,34
"[0.9797199964523315, 0.9764599800109863, 0.9764699935913086, 0.9714300036430359, 0.9780200123786926]",0,0.98314,123.0,63.496,7967.433714816837,35
"[0.9797300100326538, 0.9764699935913086, 0.9764800071716309, 0.9714400172233582, 0.9780300259590149]",0,0.98315,123.0,63.496,7967.433714816837,36
"[0.9797499775886536, 0.9764900207519531, 0.9764999747276306, 0.9714599847793579, 0.9780499935150146]",0,0.98317,123.0,63.496,7967.433714816837,37
"[0.9797599911689758, 0.9764999747276306, 0.9765099883079529, 0.9714800119400024, 0.9780600070953369]",0,0.98318,123.0,63.496,7967.433714816837,38
"[0.9797700047492981, 0.9765200018882751, 0.9765300154685974, 0.9714999794960022, 0.9780799746513367]",0,0.98319,123.0,63.496,7967.433714816837,39
"[0.9797899723052979, 0.9765300154685974, 0.9765400290489197, 0.9715099930763245, 0.9780899882316589]",0,0.9832,123.0,63.496,7967.433714816837,40
"[0.9797999858856201, 0.9765499830245972, 0.9765599966049194, 0.971530020236969, 0.9781100153923035]",0,0.98322,123.0,63.496,7967.433714816837,41
"[0.9798200130462646, 0.9765599966049194, 0.9765700101852417, 0.9715499877929688, 0.9781200289726257]",0,0.98323,123.0,63.496,7967.433714816837,42
"[0.9798300266265869, 0.976580023765564, 0.9765899777412415, 0.971560001373291, 0.9781399965286255]",0,0.98324,123.0,63.496,7967.433714816837,43
"[0.9798399806022644, 0.9765899777412415, 0.9765999913215637, 0.9715800285339355, 0.97816002368927]",0,0.98325,123.0,63.496,7967.433714816837,44
"[0.9798600077629089, 0.976610004901886, 0.9766200184822083, 0.9715999960899353, 0.9781699776649475]",0,0.98327,123.0,63.496,7967.433714816837,45
"[0.9798700213432312, 0.9766200184822083, 0.9766299724578857, 0.9716200232505798, 0.978190004825592]",0,0.98328,123.0,63.496,7967.433714816837,46
"[0.979889988899231, 0.976639986038208, 0.9766499996185303, 0.9716299772262573, 0.9782000184059143]",0,0.98329,123.0,63.496,7967.433714816837,47
"[0.9799000024795532, 0.9766499996185303, 0.9766600131988525, 0.9716500043869019, 0.9782199859619141]",0,0.9833,123.0,63.496,7967.433714816837,48
"[0.9799100160598755, 0.9766700267791748, 0.9766799807548523, 0.9716699719429016, 0.9782299995422363]",0,0.98332,123.0,63.496,7967.433714816837,49
"[0.9799299836158752, 0.9766799807548523, 0.9766899943351746, 0.9716799855232239, 0.9782500267028809]",0,0.98333,123.0,63.496,7967.433714816837,50
"[0.9799399971961975, 0.9767000079154968, 0.9767100214958191, 0.9717000126838684, 0.9782599806785583]",0,0.98334,123.0,63.496,7967.433714816837,51
"[0.979960024356842, 0.9767100214958191, 0.9767199754714966, 0.9717199802398682, 0.9782800078392029]",0,0.98335,123.0,63.496,7967.433714816837,52
"[0.9799699783325195, 0.9767299890518188, 0.9767400026321411, 0.9717400074005127, 0.9782900214195251]",0,0.98337,123.0,63.496,7967.433714816837,53
"[0.9799799919128418, 0.9767400026321411, 0.9767500162124634, 0.971750020980835, 0.9783099889755249]",0,0.98338,123.0,63.496,7967.433714816837,54
"[0.9800000190734863, 0.9767600297927856, 0.9767699837684631, 0.9717699885368347, 0.9783300161361694]",0,0.98339,123.0,63.496,7967.433714816837,55
"[0.9800099730491638, 0.9767699837684631, 0.9767799973487854, 0.9717900156974792, 0.9783400297164917]",0,0.98341,123.0,63.496,7967.433714816837,56
"[0.9800300002098083, 0.9767900109291077, 0.9768000245094299, 0.9718000292778015, 0.9783599972724915]",0,0.98342,123.0,63.496,7967.433714816837,57
"[0.9800400137901306, 0.9768000245094299, 0.9768099784851074, 0.9718199968338013, 0.9783700108528137]",0,0.98343,123.0,63.496,7967.433714816837,58
"[0.9800500273704529, 0.9768199920654297, 0.976830005645752, 0.9718400239944458, 0.9783899784088135]",0,0.98344,123.0,63.496,7967.433714816837,59
"[0.9800699949264526, 0.9768400192260742, 0.9768400192260742, 0.9718599915504456, 0.9783999919891357]",0,0.98346,123.0,63.496,7967.433714816837,60
"[0.9800800085067749, 0.9768499732017517, 0.976859986782074, 0.9718700051307678, 0.9784200191497803]",0,0.98347,123.0,63.496,7967.433714816837,61
"[0.9800999760627747, 0.9768700003623962, 0.9768700003623962, 0.9718899726867676, 0.9784299731254578]",0,0.98348,123.0,63.496,7967.433714816837,62
"[0.9801099896430969, 0.9768800139427185, 0.9768900275230408, 0.9719099998474121, 0.9784500002861023]",0,0.98349,123.0,63.496,7967.433714816837,63
"[0.9801200032234192, 0.9768999814987183, 0.9768999814987183, 0.9719300270080566, 0.9784700274467468]",0,0.98351,123.0,63.496,7967.433714816837,64
